,0
3622,099
3623,089
3624,126
3625,083
3626,109
3627,080
3629,040
3633,109
3634,084
3635,104
3636,105
3637,099
3638,104
3639,105
3640,116
3641,094
3642,085
3644,059
3646,150
3647,109
3648,094
3650,111
3651,095
3652,059
3653,103
3654,116
3655,058
3657,089
3658,092
3659,095
3661,023
3662,025
3663,085
3664,020
3665,102
3666,090
3668,068
3669,067
3670,066
3671,070
3672,066
3673,068
3674,069
3675,091
3681,102
3683,149
3686,087
3688,098
3689,094
3693,090
3694,233
3695,108
3696,085
3698,105
3700,095
3701,103
3703,089
3704,118
3705,114
3707,153
3708,106
3709,096
3710,068
3712,040
3713,096
3716,117
3717,088
3718,116
3719,155
3720,028
3722,071
3723,088
3725,064
3727,092
3729,093
3731,095
3732,086
3735,092
3736,074
3737,084
3738,066
3743,140
3747,110
3749,106
3752,098
3754,101
3755,096
3757,103
3758,105
3759,093
3761,111
3762,094
3763,109
3764,087
3767,163
3769,103
3770,120
3771,093
3773,133
3776,077
3777,097
3779,101
3780,111
3781,115
3785,091
3786,103
3787,095
3788,092
3790,084
3792,082
3793,124
3794,077
3795,091
3796,079
3797,112
3798,113
3799,050
3800,081
3801,081
3802,087
3803,071
3804,098
3805,066
3806,102
3808,156
3809,113
3810,144
3812,131
3813,150
3816,125
3823,100
3824,110
3825,100
3826,121
3827,129
3828,051
3829,117
3830,094
3831,032
3832,107
3833,076
3834,118
3835,108
3836,101
3837,093
3839,099
3840,084
3841,102
3842,134
3843,091
3845,078
3846,128
3848,141
3849,128
3850,095
3856,073
3858,110
3859,143
3860,189
3861,075
3862,119
3863,056
3866,134
3868,092
3871,109
3872,171
3873,129
3874,137
3875,192
3878,033
3879,021
3881,106
3882,132
3883,133
3884,131
3885,051
3886,089
3887,070
3888,071
3890,091
3891,131
3892,101
3895,105
3897,088
3900,155
3901,103
3902,097
3903,092
3904,098
3905,109
3908,110
3909,136
3910,133
3911,152
3912,173
3913,089
3914,129
3915,162
3916,112
3917,085
3918,114
3919,075
3920,089
3921,177
3922,093
3923,112
3925,099
3927,107
3928,071
3929,095
3930,070
3934,073
3936,029
3937,090
3938,064
3939,050
3940,038
3942,069
3943,029
3945,067
3947,094
3948,135
3949,137
3953,090
3954,104
3955,055
3956,062
3957,083
3958,077
3961,074
3964,075
3966,072
3971,103
3972,120
3973,131
3976,100
3978,095
3982,112
3983,138
3984,143
3986,108
3987,091
3988,080
3989,094
3990,132
3991,057
3992,136
3993,063
3994,084
3995,111
3996,099
3997,093
3998,114
3999,122
4000,120
4001,100
4002,067
4003,132
4004,083
4005,054
4006,105
4007,098
4008,112
4013,094
4014,090
4016,075
4017,048
4021,150
4022,126
4023,110
4025,084
4026,118
4027,097
4029,086
4031,098
4032,088
4034,101
4035,082
4036,081
4037,112
4038,088
4039,099
4040,079
4041,088
4042,088
4044,103
4045,115
4049,115
4050,106
4051,162
4052,103
4054,093
4057,116
4058,100
4060,095
4061,102
4062,105
4063,148
4064,105
4066,086
4067,054
4068,061
4069,019
4070,063
4071,059
4072,060
4073,113
4074,092
4076,087
4080,112
4082,026
4089,097
4090,076
4091,071
4092,086
4093,056
4094,060
4095,063
4096,124
4097,094
4098,100
4099,115
4100,102
4101,128
4107,099
4108,088
4110,106
4111,083
4116,078
4117,128
4119,136
4120,132
4122,129
4123,098
4124,062
4125,106
4126,129
4128,120
4129,081
4130,082
4132,085
4135,090
4137,136
4138,089
4139,130
4140,085
4142,090
4144,094
4145,086
4146,102
4147,094
4148,100
4149,119
4150,107
4151,093
4152,109
4153,093
4154,057
4155,064
4159,054
4161,109
4162,096
4163,092
4164,168
4165,093
4166,100
4168,141
4169,139
4171,092
4172,119
4174,084
4176,057
4177,096
4178,122
4182,083
4183,117
4184,093
4185,073
4186,072
4187,072
4188,046
4189,074
4190,046
4191,046
4192,074
4193,071
4194,072
4195,076
4196,023
4197,060
4198,046
4199,091
4200,081
4202,101
4203,119
4207,092
4209,055
4210,137
4211,056
4212,058
4213,080
4214,094
4218,094
4221,097
4222,111
4223,096
4224,135
4227,091
4229,084
4230,121
4231,061
4234,083
4235,103
